term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,p_stem
support,88,0.0006417408679545239,10.605721518317061,7,NN,3,"{'NN', 'VBP', 'VB'}",0,support
system,88,0.0006417408679545239,10.605721518317061,6,NN,2,"{'NN', 'NNP'}",0,system
future,86,0.0006271558482282847,10.638888382252262,6,NN,2,"{'NN', 'JJ'}",0,futur
faith,85,0.0006198633383651651,10.655762200816657,5,NN,4,"{'NN', 'VBP', 'VBN', 'VB'}",0,faith
confidence,84,0.0006125708285020455,10.672835714175598,10,NN,1,{'NN'},0,confid
present,84,0.0006125708285020455,10.672835714175598,7,JJ,4,"{'VB', 'NN', 'VBP', 'JJ'}",0,present
over,83,0.000605278318638926,10.690113705607434,4,IN,3,"{'RB', 'IN', 'RP'}",1,over
same,83,0.000605278318638926,10.690113705607434,4,JJ,1,{'JJ'},1,same
purpose,82,0.0005979858087758064,10.707601132336276,7,NN,3,"{'NN', 'VB', 'JJ'}",0,purpos
necessary,82,0.0005979858087758064,10.707601132336276,9,JJ,1,{'JJ'},0,necessari
today,81,0.0005906932989126868,10.725303134069733,5,NN,1,{'NN'},0,today
nor,81,0.0005906932989126868,10.725303134069733,3,CC,1,{'CC'},1,nor
too,80,0.0005834007890495672,10.743225042066996,3,RB,1,{'RB'},1,too
common,80,0.0005834007890495672,10.743225042066996,6,JJ,2,"{'NNP', 'JJ'}",0,common
president,80,0.0005834007890495672,10.743225042066996,9,NNP,2,"{'NN', 'NNP'}",0,presid
service,79,0.0005761082791864476,10.761372388777255,7,NN,2,"{'NN', 'NNP'}",0,servic
yet,79,0.0005761082791864476,10.761372388777255,3,RB,2,"{'RB', 'CC'}",0,yet
party,78,0.000568815769323328,10.77975091809211,5,NN,2,"{'NN', 'NNP'}",0,parti
then,77,0.0005615232594602084,10.798366596259457,4,RB,1,{'RB'},1,then
ever,77,0.0005615232594602084,10.798366596259457,4,RB,1,{'RB'},0,ever
less,77,0.0005615232594602084,10.798366596259457,4,JJR,5,"{'JJS', 'JJR', 'RBR', 'NNP', 'NN'}",0,less
far,77,0.0005615232594602084,10.798366596259457,3,RB,2,"{'NNP', 'RB'}",0,far
force,76,0.0005542307495970888,10.817225623510774,5,NN,4,"{'NN', 'NNP', 'VBP', 'VB'}",0,forc
high,76,0.0005542307495970888,10.817225623510774,4,JJ,3,"{'NNP', 'VBP', 'JJ'}",0,high
while,76,0.0005542307495970888,10.817225623510774,5,IN,2,"{'NN', 'IN'}",1,while
institutions,76,0.0005542307495970888,10.817225623510774,12,NNS,1,{'NNS'},0,institut
ourselves,75,0.0005469382397339693,10.836334446458478,9,NNS,3,"{'NNS', 'PRP', 'VB'}",1,ourselv
way,75,0.0005469382397339693,10.836334446458478,3,NN,1,{'NN'},0,way
others,75,0.0005469382397339693,10.836334446458478,6,NNS,1,{'NNS'},0,other
general,75,0.0005469382397339693,10.836334446458478,7,JJ,2,"{'NNP', 'JJ'}",0,gener
day,74,0.0005396457298708497,10.855699771325408,3,NN,2,"{'NN', 'NNP'}",0,day
always,74,0.0005396457298708497,10.855699771325408,6,RB,2,"{'RB', 'IN'}",0,alway
federal,73,0.0005323532200077301,10.875328578074342,7,NNP,2,"{'NNP', 'JJ'}",0,feder
better,73,0.0005323532200077301,10.875328578074342,6,JJR,5,"{'VB', 'JJR', 'RB', 'RBR', 'NN'}",0,better
still,73,0.0005323532200077301,10.875328578074342,5,RB,1,{'RB'},0,still
interest,73,0.0005323532200077301,10.875328578074342,8,NN,1,{'NN'},0,interest
here,73,0.0005323532200077301,10.875328578074342,4,RB,1,{'RB'},1,here
need,73,0.0005323532200077301,10.875328578074342,4,VBP,5,"{'VB', 'VBN', 'VBP', 'NN', 'MD'}",0,need
itself,72,0.0005250607101446105,10.895228135512047,6,PRP,1,{'PRP'},1,itself
old,72,0.0005250607101446105,10.895228135512047,3,JJ,2,"{'NNP', 'JJ'}",0,old
office,72,0.0005250607101446105,10.895228135512047,6,NN,1,{'NN'},0,offic
come,71,0.0005177682002814909,10.915406017449676,4,VB,4,"{'VB', 'NN', 'VBP', 'VBN'}",0,come
equal,71,0.0005177682002814909,10.915406017449676,5,JJ,3,"{'VB', 'VBP', 'JJ'}",0,equal
strength,71,0.0005177682002814909,10.915406017449676,8,NN,1,{'NN'},0,strength
together,70,0.0005104756904183713,10.935870120009392,8,RB,2,"{'RB', 'IN'}",0,togeth
means,70,0.0005104756904183713,10.935870120009392,5,NNS,3,"{'NNS', 'NN', 'VBZ'}",0,mean
themselves,69,0.0005031831805552517,10.95662868017619,10,PRP,1,{'PRP'},1,themselv
place,69,0.0005031831805552517,10.95662868017619,5,NN,2,"{'NN', 'VB'}",0,place
home,69,0.0005031831805552517,10.95662868017619,4,NN,1,{'NN'},0,home
believe,69,0.0005031831805552517,10.95662868017619,7,VBP,2,"{'VB', 'VBP'}",0,believ
land,68,0.0004958906706921321,10.97769029570402,4,NN,1,{'NN'},0,land
could,68,0.0004958906706921321,10.97769029570402,5,MD,1,{'MD'},0,could
secure,67,0.0004885981608290126,10.999063946496586,6,VB,5,"{'VB', 'VBN', 'VBP', 'JJ', 'NN'}",0,secur
give,66,0.0004813056509658929,11.020759017595905,4,VB,3,"{'VB', 'VBP', 'JJ'}",0,give
even,66,0.0004813056509658929,11.020759017595905,4,RB,1,{'RB'},0,even
prosperity,66,0.0004813056509658929,11.020759017595905,10,NN,2,"{'NN', 'NNP'}",0,prosper
republic,66,0.0004813056509658929,11.020759017595905,8,NNP,4,"{'NN', 'VBZ', 'NNP', 'JJ'}",0,republ
order,66,0.0004813056509658929,11.020759017595905,5,NN,2,"{'NN', 'NNP'}",0,order
might,66,0.0004813056509658929,11.020759017595905,5,MD,1,{'MD'},0,might
business,65,0.00047401314110277336,11.042785323925905,8,NN,2,"{'NN', 'NNP'}",0,busi
whose,65,0.00047401314110277336,11.042785323925905,5,WP$,1,{'WP$'},0,whose
action,65,0.00047401314110277336,11.042785323925905,6,NN,2,"{'NN', 'NNP'}",0,action
where,65,0.00047401314110277336,11.042785323925905,5,WRB,1,{'WRB'},1,where
change,65,0.00047401314110277336,11.042785323925905,6,NN,4,"{'NN', 'NNP', 'VBP', 'VB'}",0,chang
am,65,0.00047401314110277336,11.042785323925905,2,VBP,1,{'VBP'},1,am
find,64,0.00046672063123965376,11.06515313695436,4,VB,2,"{'VB', 'VBP'}",0,find
things,64,0.00046672063123965376,11.06515313695436,6,NNS,1,{'NNS'},0,thing
proper,64,0.00046672063123965376,11.06515313695436,6,JJ,5,"{'JJR', 'IN', 'VBP', 'JJ', 'NN'}",0,proper
americans,63,0.00045942812137653416,11.087873213454442,9,NNPS,2,"{'NNS', 'NNPS'}",0,american
important,63,0.00045942812137653416,11.087873213454442,9,JJ,1,{'JJ'},0,import
full,63,0.00045942812137653416,11.087873213454442,4,JJ,1,{'JJ'},0,full
given,62,0.00045213561151341455,11.110956826567485,5,VBN,1,{'VBN'},0,given
commerce,62,0.00045213561151341455,11.110956826567485,8,NN,2,"{'NN', 'NNP'}",0,commerc
responsibility,62,0.00045213561151341455,11.110956826567485,14,NN,1,{'NN'},0,respons
being,62,0.00045213561151341455,11.110956826567485,5,VBG,3,"{'NN', 'NNP', 'VBG'}",1,be
again,61,0.000444843101650295,11.134415799391473,5,RB,2,"{'NN', 'RB'}",1,again
security,61,0.000444843101650295,11.134415799391473,8,NN,2,"{'NN', 'NNP'}",0,secur
subject,61,0.000444843101650295,11.134415799391473,7,NN,4,"{'NN', 'VB', 'VBP', 'JJ'}",0,subject
take,61,0.000444843101650295,11.134415799391473,4,VB,2,"{'VB', 'VBP'}",0,take
revenue,61,0.000444843101650295,11.134415799391473,7,NN,1,{'NN'},0,revenu
found,61,0.000444843101650295,11.134415799391473,5,VBN,2,"{'VBD', 'VBN'}",0,found
since,60,0.0004375505917871754,11.15826254134584,5,IN,1,{'IN'},0,sinc
ought,60,0.0004375505917871754,11.15826254134584,5,MD,2,"{'VBD', 'MD'}",0,ought
true,59,0.0004302580819240558,11.182510087592517,4,JJ,2,"{'NN', 'JJ'}",0,true
toward,59,0.0004302580819240558,11.182510087592517,6,IN,2,"{'NNP', 'IN'}",0,toward
see,59,0.0004302580819240558,11.182510087592517,3,VB,2,"{'VB', 'VBP'}",0,see
century,59,0.0004302580819240558,11.182510087592517,7,NN,2,"{'NN', 'NNP'}",0,centuri
called,58,0.0004229655720609362,11.207172141826787,6,VBN,2,"{'VBD', 'VBN'}",0,call
trust,58,0.0004229655720609362,11.207172141826787,5,NN,3,"{'NN', 'VBP', 'VB'}",0,trust
democracy,58,0.0004229655720609362,11.207172141826787,9,NN,1,{'NN'},0,democraci
honor,58,0.0004229655720609362,11.207172141826787,5,NN,4,"{'NN', 'VBP', 'VB', 'JJ'}",0,honor
principle,58,0.0004229655720609362,11.207172141826787,9,NN,2,"{'NN', 'VB'}",0,principl
respect,58,0.0004229655720609362,11.207172141826787,7,NN,3,"{'NN', 'VBP', 'VB'}",0,respect
up,58,0.0004229655720609362,11.207172141826787,2,RP,3,"{'RB', 'IN', 'RP'}",1,up
character,58,0.0004229655720609362,11.207172141826787,9,NN,1,{'NN'},0,charact
influence,57,0.00041567306219781664,11.232263122789616,9,NN,2,"{'NN', 'VB'}",0,influenc
beyond,57,0.00041567306219781664,11.232263122789616,6,IN,2,"{'NN', 'IN'}",0,beyond
protection,57,0.00041567306219781664,11.232263122789616,10,NN,1,{'NN'},0,protect
cause,57,0.00041567306219781664,11.232263122789616,5,NN,3,"{'NN', 'VBP', 'VB'}",0,caus
become,56,0.00040838055233469704,11.257798214896754,6,VB,5,"{'VB', 'FW', 'VBN', 'VBP', 'NN'}",0,becom
question,56,0.00040838055233469704,11.257798214896754,8,NN,2,"{'NN', 'VBP'}",0,question
course,56,0.00040838055233469704,11.257798214896754,6,NN,1,{'NN'},0,cours
another,56,0.00040838055233469704,11.257798214896754,7,DT,1,{'DT'},0,anoth
authority,56,0.00040838055233469704,11.257798214896754,9,NN,1,{'NN'},0,author
very,56,0.00040838055233469704,11.257798214896754,4,RB,2,"{'RB', 'JJ'}",1,veri
like,55,0.00040108804247157744,11.2837934234297,4,IN,3,"{'VB', 'IN', 'JJ'}",0,like
earth,55,0.00040108804247157744,11.2837934234297,5,NN,2,"{'NN', 'NNP'}",0,earth
seek,55,0.00040108804247157744,11.2837934234297,4,VBP,4,"{'VB', 'NN', 'VBP', 'JJ'}",0,seek
done,54,0.00039379553260845783,11.310265634790891,4,VBN,1,{'VBN'},0,done
stand,54,0.00039379553260845783,11.310265634790891,5,VB,3,"{'VB', 'NN', 'VBP'}",0,stand
however,54,0.00039379553260845783,11.310265634790891,7,RB,1,{'RB'},0,howev
citizen,54,0.00039379553260845783,11.310265634790891,7,NN,2,"{'NN', 'VB'}",0,citizen
strong,53,0.0003865030227453383,11.337232682391159,6,JJ,1,{'JJ'},0,strong
countrymen,53,0.0003865030227453383,11.337232682391159,10,NNS,1,{'NNS'},0,countrymen
help,53,0.0003865030227453383,11.337232682391159,4,VB,3,"{'VB', 'NN', 'VBP'}",0,help
constitutional,53,0.0003865030227453383,11.337232682391159,14,JJ,2,"{'NNP', 'JJ'}",0,constitut
past,52,0.0003792105128822187,11.364713418813267,4,JJ,3,"{'NN', 'VBP', 'JJ'}",0,past
sense,52,0.0003792105128822187,11.364713418813267,5,NN,3,"{'NN', 'VBP', 'VB'}",0,sens
experience,52,0.0003792105128822187,11.364713418813267,10,NN,2,"{'NN', 'VB'}",0,experi
live,52,0.0003792105128822187,11.364713418813267,4,VB,3,"{'VB', 'VBP', 'JJ'}",0,live
civil,52,0.0003792105128822187,11.364713418813267,5,JJ,2,"{'NNP', 'JJ'}",0,civil
also,51,0.0003719180030190991,11.392727794982862,4,RB,1,{'RB'},0,also
use,51,0.0003719180030190991,11.392727794982862,3,NN,4,"{'NN', 'NNP', 'VBP', 'VB'}",0,use
love,50,0.00036462549315597947,11.421296947179634,4,NN,4,"{'NN', 'NNP', 'VBP', 'VB'}",0,love
resources,50,0.00036462549315597947,11.421296947179634,9,NNS,1,{'NNS'},0,resourc
times,50,0.00036462549315597947,11.421296947179634,5,NNS,1,{'NNS'},0,time
individual,50,0.00036462549315597947,11.421296947179634,10,JJ,2,"{'NN', 'JJ'}",0,individu
hand,50,0.00036462549315597947,11.421296947179634,4,NN,2,"{'NN', 'NNP'}",0,hand
governments,50,0.00036462549315597947,11.421296947179634,11,NNS,3,"{'NNS', 'NNPS', 'NNP'}",0,govern
trade,50,0.00036462549315597947,11.421296947179634,5,NN,2,"{'NN', 'VB'}",0,trade
greater,49,0.0003573329832928599,11.45044329283915,7,JJR,2,"{'JJR', 'NNP'}",0,greater
act,49,0.0003573329832928599,11.45044329283915,3,VB,4,"{'VB', 'NN', 'NNP', 'VBP'}",0,act
economy,49,0.0003573329832928599,11.45044329283915,7,NN,2,"{'NN', 'NNP'}",0,economi
purposes,49,0.0003573329832928599,11.45044329283915,8,NNS,1,{'NNS'},0,purpos
